Initial,wk1,wk2,wk3,wk4
99.89277,99.57542,99.94374,100.24853,100.19861
92.05166,91.49069,89.50763,90.76005,92.71194
97.71137,97.30643,95.73605,96.93583,98.62108
96.30985,95.37016,93.67814,94.57932,97.16268
79.92685,80.24962,80.47954,80.10365,80.16121
102.80514,101.83191,99.15884,99.88952,103.84622
84.33202,83.83838,80.40173,82.18016,84.69346
83.58428,83.19632,82.60584,83.11751,83.27646
93.54647,92.77653,90.67183,91.33039,94.28392
96.92765,96.87646,95.58833,96.25375,97.10992
92.14167,92.08168,91.68019,92.29454,92.23442
83.36801,82.06768,79.56995,81.45134,84.40803
99.63874,99.35487,98.15386,98.60535,99.6266
102.88158,102.73407,101.52132,102.4234,103.18734
